PROJIS,Project Name,Shape,Buffer
606453,Boston - Boylston St,line ,1/2-mile
S13147,Framingham - Intersection improvements at Rt 126/135/MBTA & CSX,line,1/2-mile
S13146,Lexington - I95 and Rt 4/225 Interchange,line,1/2-mile
606226,Somerville - Rutherford Ave,line,1/2-mile
611982,Medford - Wellington Underpass,line,1/2-mile
609257,Everett - Beacham St,line,1/2-mile
605857,Norwood - Rt 1 and University Ave/Everett St,line,1/2-mile
610662,Woburn - Woburn Common,line,1/2-mile
605168,Hingham - Rt 3A,line,1/2-mile
613163,Lynnfield - Peabody Rail Trail,line,1/2-mile
609531,Arlington - Stratton School,line,1/2-mile
