PROJIS,minority_universe,minority_pop,minority_pct,older_adults_universe,older_adults_pop,older_adults_pct,youth_universe,youth_pop,youth_pct,lowincome_universe,lowincome_pop,lowincome_pct,lep_universe,lep_pop,lep_pct,disabled_universe,disabled_pop,disabled_pct,Project Name,Shape,Buffer
613145,9425,1390,14.7,9425,749,7.9,9425,1668,17.7,9132,1171,12.8,8554,363,4.2,7891,927,11.7,Wakefield Downtown,line,1/2-mile
613244,17970,10627,59.1,17970,935,5.2,17970,3570,19.9,17452,5392,30.9,16177,4289,26.5,17886,2172,12.1,Malden – Broadway Reconstruction Everett to Melrose City Line,Line,1/2-mile
613683,8840,3443,38.9,8840,501,5.7,8840,1827,20.7,8407,1677,19.9,8111,651,8,8458,677,8,"Pedestrian Bridge Replacement, B-27-017, Davis Path over MBTA",line,1/2-mile
S13385,5121,3449,67.4,5121,298,5.8,5121,647,12.6,5127,1801,35.1,4840,1571,32.5,3630,319,8.8,Malden Bicycle Rack Expansion,should be points,1/4-mile
S13386,10300,3334,32.4,10300,889,8.6,10300,1412,13.7,10095,1594,15.8,9911,635,6.4,8237,718,8.7,Brookline Bluebike Expansion,should be points,1/4-mile
S13387,15986,5912,37,15986,1052,6.6,15986,2424,15.2,14277,2522,17.7,14937,1150,7.7,14807,1161,7.8,Brookline Bicycle Rack Expansion,should be points,1/4-mile
S13388,67059,6659,9.9,67059,6542,9.8,67059,11891,17.7,66656,11239,16.9,63969,2127,3.3,66944,6240,9.3,CATA Access for All,polygon,n/a
S13389,67059,6659,9.9,67059,6542,9.8,67059,11891,17.7,66656,11239,16.9,63969,2127,3.3,66944,6240,9.3,Cape Ann Dialysis Transportation,polygon,n/a
S13390,349265,109934,31.5,349265,25024,7.2,349265,78358,22.4,337882,48299,14.3,327224,37429,11.4,344907,30266,8.8,Procurement of 10 Compressed Natural Gas (CNG) Vehicles,polygon,n/a
S13391,349265,109934,31.5,349265,25024,7.2,349265,78358,22.4,337882,48299,14.3,327224,37429,11.4,344907,30266,8.8,Construction of Vehicle Maintenance and Fueling Facility,polygon,n/a
S13392,349265,109934,31.5,349265,25024,7.2,349265,78358,22.4,337882,48299,14.3,327224,37429,11.4,344907,30266,8.8,Procurement of Hydrogen Fuel Cell-Powered Transit Vehicles,polygon,n/a
S13393,25742,11723,45.5,25742,1298,5,25742,1506,5.9,16865,7453,44.2,21971,2904,13.2,21555,2446,11.3,Symphony Station,should be point,1/2-mile
S13394,13913,5710,41,13913,760,5.5,13913,968,7,9172,2810,30.6,11286,1756,15.6,11738,1353,11.5,Downtown Crossing Vertical Transportation Improvements Phase 2,should be point,1/2-mile
S13395,95033,18341,19.3,95033,9089,9.6,95033,21712,22.8,92766,8935,9.6,89805,2848,3.2,94047,8397,8.9,Operational Enhancement of Bus Routes 714 and 716,should be line,1/4-mile
S13396,2846689,1121584,39.4,2846689,197967,7,2846689,524165,18.4,2714689,547346,20.2,2678822,331059,12.4,2797556,294405,10.5,Bus Priority and Accessibility Improvements,polygon,n/a
S13397,71280,11331,15.9,71280,4578,6.4,71280,15895,22.3,67994,6372,9.4,67518,2093,3.1,68983,6136,8.9,Franklin Line Double Track Improvements - Phase 3,should be line,1/2-mile
S13398,3298023,1207294,36.6,3298023,230562,7,3298023,622129,18.9,3162017,603724,19.1,3105985,352766,11.4,3246484,335828,10.3,Unit Substation Upgrade/Replacement,polygon,n/a
S13399,48871,6484,13.3,48871,3894,8,48871,10833,22.2,48158,4124,8.6,45810,1166,2.5,48311,4585,9.5,Haverhill Line Double Track Improvements,should be line,1/2-mile
S13400,3298023,1207294,36.6,3298023,230562,7,3298023,622129,18.9,3162017,603724,19.1,3105985,352766,11.4,3246484,335828,10.3,Locomotive Procurement,polygon,n/a
S13402,8561,2004,23.4,8561,835,9.8,8561,1934,22.6,8006,754,9.4,7862,594,7.6,8940,910,10.2,High Priority Stations Accessibility Improvements Program,should be points,1/2-mile
S13403,3298023,1207294,36.6,3298023,230562,7,3298023,622129,18.9,3162017,603724,19.1,3105985,352766,11.4,3246484,335828,10.3,Power Systems Reliability Program,polygon,n/a
S13404,6087,1422,23.4,6087,202,3.3,6087,384,6.3,6649,548,8.2,6498,151,2.3,6796,142,2.1,Silver Line Tunnel Flood Mitigation,line,1/2-mile
S13405,25360,16304,64.3,25360,812,3.2,25360,4775,18.8,26074,8189,31.4,24766,9554,38.6,25046,2381,9.5,Blue Line Tunnel Airport Flood Mitigation,line,1/2-mile
S13406,11219,7331,65.3,11219,489,4.4,11219,2578,23,11000,4531,41.2,10291,4678,45.5,10608,1303,12.3,Walking to Wonderland (Design Only),line,1/2-mile
S13407,5165,542,10.5,5165,496,9.6,5165,1068,20.7,4711,503,10.7,4674,67,1.4,4700,284,6,Marblehead Reconstruction of Pleasant Street,line,1/2-mile
S13410,11247,5429,48.3,11247,765,6.8,11247,1695,15.1,10857,2483,22.9,10444,2173,20.8,11141,1319,11.8,Quincy Bluebikes Expansion,point,1/4-mile
S13411,6373,2093,32.8,6373,403,6.3,6373,908,14.2,6519,1203,18.5,6237,667,10.7,6308,578,9.2,Joint Municipality Bluebikes Expansion,point,1/4-mile
S13412,9018,1414,15.7,9018,839,9.3,9018,1495,16.6,8691,2402,27.6,8239,489,5.9,8680,1059,12.2,CATA magnolia Shuttle,line,1/2-mile
