OBJECTID,Program,PROJIS,Notes,TFPC,Subregion,Municipality,Project Proponent,Project Name,MPO Evaluation Score,Year Programmed,Highway Division,Adjusted TFPC,Funding 2025,Funding 2026,Funding 2027,Funding 2028,Funding 2029,Funding Other,Funding Notes,Associated TIPs,Infrastructure or Service,Project Type,Year Added to Universe,Date of Last Update,Flag for Retirement?,Programmed Cost,Advertise Date,Programmed?,Origin Date,GlobalID,Geometry Notes,To_Score,Design Status,Version Last Updated,Shape__Length,CreationDate,Creator,EditDate,Editor,Response
1,Bridge_On_system_NHS,612989,"The project replaces the deck of the Cambridge Street Bridge in Boston’s Charlestown neighborhood. Cambridge Street travels under Interstate 93 and the bridge traverses the tracks for the MBTA Orange Line, commuter rail, and Amtrak. This state-of-good-repair investment improves multimodal accessibility with upgraded pedestrian and bicycle facilities in addition to a new westbound bus lane for improved bus connections between Sullivan Square, Charlestown, and Somerville.","$15,400,000",ICC,Boston,Boston,"Boston- Bridge Preservation, B-16-066 (38D), Cambridge Street over MBTA",53.1,2027,6,"$16,632,000",$-,$-,"$16,632,000",$-,$-,,,,Infrastructure,Complete Streets,,04/05/2023,,"$16,632,000",02/26/2027,Y,,37e5f393-d59f-4b98-a300-a5b4ba3f7a87,,,Scope to DE,0.1,82.608318349263,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
2,Multiple,609246,"This project will reconstruct 1.9 miles of Western Avenue (Route 107) in Lynn between Centre Street and Eastern Avenue. Work will include roadway pavement reconstruction, drainage improvements, improved design for traffic operations and safety, new signs and pavement markings, and bicycle and ADA-compliant pedestrian improvements. This project includes improvements to bus stop locations throughout the corridor and bus-priority elements will be considered during the design phase. A key goal of this project is to enhance safety along the corridor, as this segment of Western Avenue has three 2017–19 top-200 crash clusters, four 2017–19 all-mode crash clusters, one 2010–19 bicycle crash cluster, and one 2010-19 pedestrian crash cluster, making it a high-priority safety improvement location statewide. This project is anticipated to be funded over three fiscal years, with funding beginning in FFY 2027.","$40,980,000",ICC,Lynn,Lynn,Reconstruction of Western Avenue (Route 107),74.9,2028-30,4,"$45,897,600",$-,$-,$-,"$15,000,000","$20,000,000",,,,Infrastructure,Complete Streets,,12/06/2018,,"$45,897,600",01/14/2028,Y,,29fde229-dfed-4063-908b-71879bd646cd,,,PRC Approved,0.1,3188.85723727699,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
3,Roadway_Reconstruction,608158,"This project will reconstruct Canton Street and install pedestrian and bicycle facilities where none currently exist. A sidewalk will be constructed along the southbound side of the roadway and a shared-use path along along the northbound side. The project will improve visibility at five curves along the corridor to improve stopping sight distances, and it includes the addition of apron turn lanes and medians for improved navigation. High visibility crosswalks and beacons will be added at seven locations.","$20,406,113",TRIC,"Norwood, Westwood",Westwood,Reconstruction of Canton Street to University Drive,53.3,2028-29,3,"$22,854,847",$-,$-,$-,"$12,854,847","$10,000,000",,,,Infrastructure,Complete Streets,,09/28/2023,,"$22,854,847",,Y,,bf9f7afc-5db6-4f92-b769-0dc301261b56,,,25% Design,0.1,3485.14003010223,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
4,"Roadway
Reconstruction",610545,"This Complete Streets project redesigns Route 129 Main Street in downtown Wakefield to integrate comprehensive multimodal facilities through the addition of shared-use-paths, median refuges, curb bump outs, and other geometric improvements. The project improves safety for all users with upgrades to lighting and turn radii, including for emergency response vehicles.","$16,460,693",NSPC,Wakefield,Wakefield,Wakefield- Comprehensive Downtown Transportation Improvement Project,61.8,2028,4,"$18,435,976",$-,$-,$-,"$18,435,976",$-,,,,Infrastructure,Complete Streets,,06/01/2023,,"$18,435,976",05/19/2028,Y,,f4001465-264f-4e31-9fb1-918d839f7b31,,,PRC Approved,0.1,2250.61371109719,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
5,Bicycle and Pedestrian,609204,"This project will construct the Belmont Community Path between the existing Fitchburg Cutoff Path and Belmont Center, creating a direct off-street connection between the heart of Belmont, the Alewife MBTA station, and destinations beyond in Cambridge, Somerville, and Boston. The project proposes a 12-foot paved facility with two-foot grass shoulders and additional landscaping along the length of the path that will buffer the new facility from the adjacent railroad tracks and neighboring properties. The project includes an underpass beneath the commuter rail tracks at Channing Road and Alexander Avenue to provide a safe connection between the Winnbrook neighborhood that lies on the north side of the tracks with the bike lanes on Concord Avenue and the adjacent new school serving students in grades 7-12.","$19,711,298",ICC,Belmont,Belmont,"Community Path, Belmont Component of the Mass Central Rail Trail (Phase 1)",64.6,2026,4,"$20,499,750",$-,"$8,000,000","$12,499,750",$-,$-,,,,Infrastructure,Bicycle and Pedestrian,,01/05/2022,,"$20,499,750",02/13/2026,Y,,191e5647-1a15-4038-af45-84b7a463839a,,,25% Design,0.1,1890.23844603213,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
6,"Roadway
Reconstruction",606453,"This roadway improvement project will enhance safety and mobility for people walking and biking along the Boylston Street corridor. The project will improve traffic signals and crosswalks, replace street lighting, and reconstruct sidewalks and ramps to achieve ADA compliance throughout the corridor. This project will also construct additional improvements to the Muddy River crossing at the western end of the corridor, including along Park Drive to the Landmark Center driveway and at the intersection of Brookline Avenue and Pilgrim Road. These improvements will include the addition of segments of separated bicycle lanes and cycle track, improved signals and crosswalks, and reconstructed sidewalks to shorten pedestrian crossings. The scope of work of this project has been adjusted to coordinate with and reflect recent and upcoming developments along the corridor.","$8,331,781",ICC,Boston,Boston,"Improvements on Boylston Street, from Intersection of Brookline Avenue and Park Drive to Ipswich Street",60,2026,6,"$8,665,052",$-,"$8,665,052",$-,$-,$-,,,,Infrastructure,Complete Streets,,01/29/2021,,"$8,665,052",03/25/2026,Y,,b1165782-75bb-40bb-b76a-45932e3096bf,,Yes (rescore),25% Design,0.1,1383.56723203299,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
7,"Roadway
Reconstruction",612963,"BRMPO issued a full corridor study in 2011. The project includes roadway rehabilitation along 1.5 miles of Route 126, improved pedestrian and bicycle accommodations with full bilateral sidewalks and a shared-use path, and improvements to the bridge over Hopping Brook (B-06-017). An existing traffic signal at Maple Street will be upgraded and a new signal installed at Pearl Street. The project not only improves drainage throughout the project area but will incorporate improvements for better conveyance of Stall Brook under Route 126 for riverine flood mitigation. This project is funded across two federal fiscal years starting in FFY 2029.","$10,950,000",SWAP,Bellingham,Bellingham,"Bellingham - Roadway Rehabilitation of Route 126 (Hartford Road), from 800 North of the I-495 NB off ramp to Medway T/L, including B-06-017",54.3,2029,3,"$12,702,000",$-,$-,$-,$-,"$8,340,000",,Funding in 2030,,Infrastructure,Complete Streets,,06/24/2024,,"$8,340,000",01/26/2029,Y,,ce59e3fc-6b3a-492e-b9bb-d2ece6bd530d,,,PRC Approved,0.1,2583.73448312563,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
8,Bicycle and Pedestrian,610666,"This project will construct a new 2.1-mile-long multi-use linear park running the length of Swampscott and connecting with the existing Marblehead Rail Trail and the larger East Coast Greenway. This project will provide safe, accessible connections to the Town’s schools, recreation areas, MBTA commuter rail station, and natural resources for people walking and bicycling. The project will feature a 10-foot-wide trail with a two-foot sloping shoulder on each side. The trail will cross Paradise Road (Route 1A) with a pedestrian bridge using the existing railroad abutments from the former rail line. Trail amenities will be located at the Swampscott Middle School, including bathrooms, vehicle parking for trail users, bicycle parking, and a public bike repair station.","$7,700,000",NSTF,Swampscott,Swampscott,Rail Trail Construction,66.4,2027,4,"$8,624,000",$-,$-,$-,"$8,624,000",$-,,,,Infrastructure,Bicycle and Pedestrian,,12/19/2019,,"$8,624,000",2/11/2028,Y,,bbba81f8-0dab-4c79-bfaa-db5b02ba4fa0,,,PRC Approved,0.1,3063.88086890151,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
9,"Intersection
Improvements",608940,"This project aims to address the safety concerns and crash incidents that contribute to the intersection’s inclusion on the state’s HSIP eligibility list as a high-crash location while also seeking to alleviate traffic congestion in the area. The project scope includes the installation of a new traffic signal system, reconfiguring the intersection to address documented safety issues, consolidating pavement area, and the simplification of turning movements. Proposed pedestrian improvements include replacement of sidewalks along the north side of Route 20 and the east side of Boston Post Road. New sidewalk is proposed on the south side of Route 20, the west side of Boston Post Road, and on both sides of Wellesley Street within the immediate intersection limits. The proposed traffic signal system includes protected pedestrian crossings and crosswalks are proposed on all approaches to the intersection. The project also includes the addition of bicycle lanes and improvements to a school bus stop on adjacent Windsor Way.","$3,113,273",MWRC,Weston,Weston,Intersection Improvements Boston Post Road (Route 20) at Wellesley Street,50.6,2026,6,"$3,237,804",$-,"$3,237,804",$-,$-,$-,,,,Infrastructure,Intersection Improvements,,03/26/2024,,"$3,237,804",04/17/2026,Y,,8b3804cb-bde6-4e10-b066-374576444db8,,,75% Design,0.1,515.80220445852,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
10,Railroad Grade Crossings,S12977,"This project provides design funding for an initial stage of a major intersection improvement project at Route 126 and 135 and the MBTA and CSX railroad tracks. Design funding will be used to develop and identify alternatives to address congestion at the location, including possibilty of grade crossing removal. This project would advance the design for a separate project #606109, and is also listed in the MPO’s Long Range Transportation Plan, Destination 2050.","$1,400,000",MWRC,Framingham,Framingham,Framingham- Preliminary Design of Intersection Improvements at Route 126/135/MBTA & CSX Railroad,N/A,2026,3,"$1,400,000",$-,"$1,400,000",$-,$-,$-,,,,Design,Intersection Improvements,,,,"$1,400,000",,N,,fa1bf681-fdcf-4aec-9f17-0edd4cb96466,,,Preliminary Design,0.1,248.489013446353,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
