Project ID,Proponent(s),Project Name,MPO Score,Investment Category,"MAPC 
Subregion",Initial TIP Year & TIP,"FFYs 2025–29
Programmed Year(s)","FFYs 2026–30
Programmed
Year(s)","Design Status / 
Date Last Update",Design Status (Shorthand),Last Update Date,Years Since Last PINFO Milestone,FFY 2025,FFY 2025 (New),FFY 2026,FFY 2026 (New),FFY 2027,FFY 2027 (New),FFY 2028,FFY 2028 (New),FFY 2029,"FFY 2029 
(New)","FFY 2030
(New)",Other Non-Target Funds,"FFYs 2026–30
Target Program Spending","Adjusted TFPC
 (FFYs 2025-29)","Adjusted TFPC
 (FFYs 2026-30)"
S12703,MART,MONTACHUSETT RTA MICROTRANSIT SERVICE,57,CC,MAGIC,"2023
(FFYs 2023–27)",2023-25,2023-25,N/A,N/A,N/A,N/A,"$406,641","$406,641",$0,$0,$0,$0,$0,$0,$0,$0,$0,#N/A,$0 ,"$1,316,061","$1,316,061"
S12701,MWRTA,MWRTA CATCHCONNECT MICROTRANSIT SERVICE EXPANSION – HUDSON AND MARLBOROUGH,59,CC,MWRC,"2023
(FFYs 2023–27)",2023-25,2023-25,N/A,N/A,N/A,N/A,"$159,488","$159,488",$0,$0,$0,$0,$0,$0,$0,$0,$0,#N/A,$0 ,"$450,163","$450,163"
S12699,Stoneham,STONEHAM- SHUTTLE SERVICE,72,CC,NSPC,"2023
(FFYs 2023–27)",2023-25,2023-25,N/A,N/A,N/A,N/A,"$205,189","$205,189",$0,$0,$0,$0,$0,$0,$0,$0,$0,#N/A,$0 ,"$796,817","$796,817"
S12697,Watertown,WATERTOWN- PLEASANT STREET SHUTTLE SERVICE EXPANSION,78,CC,ICC,"2023
(FFYs 2023–27)",2023-25,2023-25,N/A,N/A,N/A,N/A,"$228,939","$228,939",$0,$0,$0,$0,$0,$0,$0,$0,$0,#N/A,$0 ,"$1,002,198","$1,002,198"
S12807,MWRTA,MWRTA CATCHCONNECT MICTROTRANSIT EXPANSION PHASE 2 – FRAMINGHAM AND NATICK EXTENDED HOURS,90,CC,MWRC,"2024
(FFYs 2024–28)",2024-26,2024-26,N/A,N/A,N/A,N/A,"$165,625","$165,625","$162,500","$162,500",$0,$0,$0,$0,$0,$0,$0,$0,"$162,500 ","$380,477 ","$380,477 "
S12979,Arlington,ARLINGTON- BROADWAY COMPLETE STREETS DESIGN,80.1,CS,ICC,"2025
(FFYs 2025–29)",2025,2025,N/A,N/A,N/A,N/A,"$1,395,000","$1,395,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0 ,"$1,395,000 ","$1,395,000 "
S12965,Arlington,ARLINGTON- INSTALLATION OF 123 BICYCLE RACKS AND RELATED MATERIALS,74.5,CC,ICC,"2025
(FFYs 2025–29)",2025,2025,N/A,N/A,N/A,N/A,"$90,878","$90,878",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0 ,"$90,878 ","$90,878 "
609531,MassDOT,ARLINGTON- STRATTON SCHOOL IMPROVEMENTS (SRTS),N/A,II,ICC,"2025
(FFYs 2025–29)",2025,2025,PS&E Received - Resubmission 3 (1/27/2025),PS&E,1/27/2025,0.07,"$2,305,605","$2,312,688",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0 ,"$2,312,688 ","$2,312,688 "
S12958,Boston,"BOSTON- BLUEBIKES STATION REPLACEMENT AND ELECTRIFICATION, 12 STATIONS",76.5,CC,ICC,"2025
(FFYs 2025–29)",2025,2025,N/A,N/A,N/A,N/A,"$590,348","$590,348",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0 ,"$590,348 ","$590,348 "
S12959,Boston,BOSTON- REPURPOSING SINGLE SPACE PARKING METER POLES FOR 1600 BICYCLE RACKS,82,CC,ICC,"2025
(FFYs 2025–29)",2025,2025,N/A,N/A,N/A,N/A,"$379,470","$379,470",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0 ,"$379,470 ","$379,470 "
