OBJECTID,FREQUENCY,statefp20,countyfp20,tractce20,blockce20,tip_id,geoid_20,geoid,Shape_Length,lengthbyfreq,area_fraction
1,2,25,9,202101,1001,610666,2.50092E+14,250092021011001!!,6563.878133,3281.939067,0.716458666
2,2,25,9,202101,1003,610666,2.50092E+14,250092021011003!!,589.2918164,294.6459082,0.998180212
3,2,25,9,202101,1004,610666,2.50092E+14,250092021011004!!,507.0204529,253.5102265,0.999102646
4,2,25,9,202101,1005,610666,2.50092E+14,250092021011005!!,1770.436047,885.2180236,0.995180187
5,2,25,9,202101,1006,610666,2.50092E+14,250092021011006!!,2028.942,1014.471,0.920685728
6,2,25,9,202101,2000,610666,2.50092E+14,250092021012000!!,653.0619883,326.5309942,0.9890746
7,2,25,9,202101,2001,610666,2.50092E+14,250092021012001!!,786.2484807,393.1242403,0.999944283
8,2,25,9,202101,2002,610666,2.50092E+14,250092021012002!!,556.9277469,278.4638735,0.999931775
9,2,25,9,202101,2003,610666,2.50092E+14,250092021012003!!,853.2744286,426.6372143,1
10,2,25,9,202101,2004,610666,2.50092E+14,250092021012004!!,995.3781648,497.6890824,0.981816473
11,2,25,9,202101,2005,610666,2.50092E+14,250092021012005!!,475.3440207,237.6720103,0.984887697
12,2,25,9,202101,2006,610666,2.50092E+14,250092021012006!!,1684.284208,842.142104,0.980706807
13,2,25,9,202101,2007,610666,2.50092E+14,250092021012007!!,638.1914055,319.0957027,0.313913066
14,2,25,9,202101,3000,610666,2.50092E+14,250092021013000!!,574.7954691,287.3977345,1
15,2,25,9,202101,3001,610666,2.50092E+14,250092021013001!!,492.6912782,246.3456391,0.993571207
16,2,25,9,202101,3002,610666,2.50092E+14,250092021013002!!,532.8661718,266.4330859,0.994355985
17,2,25,9,202101,3003,610666,2.50092E+14,250092021013003!!,656.9890952,328.4945476,0.999392543
18,2,25,9,202101,3004,610666,2.50092E+14,250092021013004!!,440.2821754,220.1410877,0.775971225
19,2,25,9,202101,3005,610666,2.50092E+14,250092021013005!!,778.3568931,389.1784466,0.999993858
20,2,25,9,202101,3006,610666,2.50092E+14,250092021013006!!,481.0847574,240.5423787,0.99988162
21,2,25,9,202101,3008,610666,2.50092E+14,250092021013008!!,42.50468369,21.25234184,0.024269755
22,2,25,9,202101,3009,610666,2.50092E+14,250092021013009!!,203.5434275,101.7717138,0.309312201
23,2,25,9,202103,1001,609252,2.50092E+14,250092021031001!!,252.8079679,126.403984,0.048287353
24,2,25,9,202103,1002,609252,2.50092E+14,250092021031002!!,340.4570072,170.2285036,0.551589521
25,2,25,9,202103,1003,609252,2.50092E+14,250092021031003!!,161.7497374,80.87486872,0.366826005
26,2,25,9,202103,1004,610666,2.50092E+14,250092021031004!!,243.9353266,121.9676633,0.873899506
27,2,25,9,202103,1008,609252,2.50092E+14,250092021031008!!,42.18016928,21.09008464,0.019789474
28,2,25,9,202103,1013,609252,2.50092E+14,250092021031013!!,262.7078192,131.3539096,0.558289847
29,2,25,9,202103,1014,609252,2.50092E+14,250092021031014!!,375.8590318,187.9295159,0.999730704
30,2,25,9,202103,1015,609252,2.50092E+14,250092021031015!!,645.792005,322.8960025,0.999990592
31,2,25,9,202103,1016,609252,2.50092E+14,250092021031016!!,432.6746907,216.3373453,0.998270989
32,2,25,9,202103,1017,609252,2.50092E+14,250092021031017!!,796.2125505,398.1062753,0.999686173
33,2,25,9,202103,1018,609252,2.50092E+14,250092021031018!!,818.6834287,409.3417144,0.998664345
34,2,25,9,202103,1019,609252,2.50092E+14,250092021031019!!,1457.718552,728.8592761,0.748082461
35,2,25,9,202103,1019,610666,2.50092E+14,250092021031019!!,567.8051974,283.9025987,0.291390343
36,2,25,9,202103,1020,609252,2.50092E+14,250092021031020!!,5.90381009,2.951905045,0.03107281
37,2,25,9,202103,1021,609252,2.50092E+14,250092021031021!!,846.7775874,423.3887937,1
38,2,25,9,202103,1021,610666,2.50092E+14,250092021031021!!,97.70513708,48.85256854,0.115413023
39,2,25,9,202103,1022,609252,2.50092E+14,250092021031022!!,193.2972257,96.64861285,1
40,2,25,9,202104,1000,610666,2.50092E+14,250092021041000!!,2269.990144,1134.995072,0.891354216
41,2,25,9,202104,1001,610666,2.50092E+14,250092021041001!!,395.0697588,197.5348794,1
42,2,25,9,202104,1002,610666,2.50092E+14,250092021041002!!,627.58639,313.793195,0.999935443
43,2,25,9,202104,1003,610666,2.50092E+14,250092021041003!!,536.7608931,268.3804466,0.871585986
44,2,25,9,202104,1004,610666,2.50092E+14,250092021041004!!,286.5727673,143.2863836,0.272447477
45,2,25,9,202104,1005,610666,2.50092E+14,250092021041005!!,1095.683702,547.8418508,1
46,2,25,9,202104,1006,610666,2.50092E+14,250092021041006!!,913.9694533,456.9847267,0.989732143
47,2,25,9,202104,1007,610666,2.50092E+14,250092021041007!!,252.3710739,126.185537,1
48,2,25,9,202104,1008,610666,2.50092E+14,250092021041008!!,236.73987,118.369935,0.999989361
49,2,25,9,202104,1009,610666,2.50092E+14,250092021041009!!,747.046153,373.5230765,1
50,2,25,9,202104,1010,610666,2.50092E+14,250092021041010!!,867.6444215,433.8222107,1
51,2,25,9,202104,1011,610666,2.50092E+14,250092021041011!!,90.26108549,45.13054274,0.307969086
52,2,25,9,202104,1012,609252,2.50092E+14,250092021041012!!,279.164787,139.5823935,0.292793418
53,2,25,9,202104,1012,610666,2.50092E+14,250092021041012!!,276.2997144,138.1498572,0.289788475
54,2,25,9,202104,1013,609252,2.50092E+14,250092021041013!!,129.8851254,64.9425627,0.357321695
55,2,25,9,202104,1013,610666,2.50092E+14,250092021041013!!,40.60185695,20.30092848,0.11169812
56,2,25,9,202104,1014,609252,2.50092E+14,250092021041014!!,264.8231988,132.4115994,0.996677462
57,2,25,9,202104,1014,610666,2.50092E+14,250092021041014!!,264.8231988,132.4115994,0.996677462
58,2,25,9,202104,1015,609252,2.50092E+14,250092021041015!!,143.4830041,71.74150206,1
59,2,25,9,202104,1015,610666,2.50092E+14,250092021041015!!,143.4830041,71.74150206,1
60,2,25,9,202104,1016,609252,2.50092E+14,250092021041016!!,162.9038446,81.45192228,0.925221983
61,2,25,9,202104,1016,610666,2.50092E+14,250092021041016!!,162.9038446,81.45192228,0.925221983
62,2,25,9,202104,2000,609252,2.50092E+14,250092021042000!!,867.3365228,433.6682614,0.998245631
63,2,25,9,202104,2000,610666,2.50092E+14,250092021042000!!,791.9473196,395.9736598,0.911477761
64,2,25,9,202104,2001,609252,2.50092E+14,250092021042001!!,437.3781084,218.6890542,0.999858993
65,2,25,9,202104,2001,610666,2.50092E+14,250092021042001!!,437.3781084,218.6890542,0.999858993
66,2,25,9,202104,2002,609252,2.50092E+14,250092021042002!!,386.5507564,193.2753782,1
67,2,25,9,202104,2002,610666,2.50092E+14,250092021042002!!,134.1971325,67.09856624,0.348680714
68,2,25,9,202104,2003,609252,2.50092E+14,250092021042003!!,363.9812242,181.9906121,0.999063209
69,2,25,9,202104,2003,610666,2.50092E+14,250092021042003!!,49.48520076,24.74260038,0.135828005
70,2,25,9,202104,2004,609252,2.50092E+14,250092021042004!!,325.6068199,162.8034099,1
71,2,25,9,202104,2004,610666,2.50092E+14,250092021042004!!,278.2324612,139.1162306,0.855126698
72,2,25,9,202104,2005,609252,2.50092E+14,250092021042005!!,322.1880236,161.0940118,0.999932491
73,2,25,9,202104,2005,610666,2.50092E+14,250092021042005!!,233.716078,116.858039,0.725353777
74,2,25,9,202104,2006,609252,2.50092E+14,250092021042006!!,293.0229442,146.5114721,0.99985278
75,2,25,9,202104,2006,610666,2.50092E+14,250092021042006!!,293.0229442,146.5114721,0.99985278
76,2,25,9,202104,2007,609252,2.50092E+14,250092021042007!!,59.20927814,29.60463907,0.068390277
77,2,25,9,202104,2007,610666,2.50092E+14,250092021042007!!,843.5473486,421.7736743,0.974347917
78,2,25,9,202104,2008,610666,2.50092E+14,250092021042008!!,764.0852141,382.0426071,1
79,2,25,9,202104,2009,610666,2.50092E+14,250092021042009!!,167.470861,83.7354305,0.510905274
80,2,25,9,202104,2010,610666,2.50092E+14,250092021042010!!,344.6418452,172.3209226,0.860643171
81,2,25,9,202104,2011,610666,2.50092E+14,250092021042011!!,0.799677592,0.399838796,0.001709393
82,2,25,9,202104,2012,610666,2.50092E+14,250092021042012!!,240.8770097,120.4385048,0.568689751
83,2,25,9,202104,3000,610666,2.50092E+14,250092021043000!!,961.1747802,480.5873901,0.995591208
84,2,25,9,202104,3001,610666,2.50092E+14,250092021043001!!,774.1574364,387.0787182,0.990065585
85,2,25,9,202104,3002,610666,2.50092E+14,250092021043002!!,696.0441893,348.0220946,1
86,2,25,9,202104,3003,610666,2.50092E+14,250092021043003!!,1239.595393,619.7976964,1
87,2,25,9,202104,3004,610666,2.50092E+14,250092021043004!!,329.9476822,164.9738411,0.999896007
88,2,25,9,202104,3005,610666,2.50092E+14,250092021043005!!,661.0026777,330.5013389,1
89,2,25,9,202104,3006,610666,2.50092E+14,250092021043006!!,758.2108772,379.1054386,0.975082819
90,2,25,9,202104,5000,610666,2.50092E+14,250092021045000!!,9.369283494,4.684641747,0.00171668
91,2,25,9,202104,5006,610666,2.50092E+14,250092021045006!!,696.4673616,348.2336808,0.651500322
92,2,25,9,202104,5008,610666,2.50092E+14,250092021045008!!,464.4448594,232.2224297,0.401044355
93,2,25,9,202200,1000,610666,2.50092E+14,250092022001000!!,334.7584117,167.3792059,0.99993464
94,2,25,9,202200,1001,610666,2.50092E+14,250092022001001!!,1214.46551,607.2327552,0.752302735
95,2,25,9,202200,1002,610666,2.50092E+14,250092022001002!!,438.6919208,219.3459604,0.972755336
96,2,25,9,202200,1003,610666,2.50092E+14,250092022001003!!,429.3923529,214.6961764,1
97,2,25,9,202200,1004,610666,2.50092E+14,250092022001004!!,672.6042237,336.3021119,0.99967512
98,2,25,9,202200,1005,610666,2.50092E+14,250092022001005!!,555.0462812,277.5231406,0.999983387
99,2,25,9,202200,1006,610666,2.50092E+14,250092022001006!!,778.5143176,389.2571588,1
100,2,25,9,202200,1007,610666,2.50092E+14,250092022001007!!,456.0699957,228.0349978,0.931046268
