OID_,FREQUENCY,tip_id,geoid,county,state,tract,blkgrp,Shape_Length,Length_Freq,area_fraction,OBJECTID,geoid_1,shape_Length_1
1,2,602077,250092052001,9,25,205200,1,4304.376217685968186,2152.188108842985002,0.631964253994212,825,250092052001,3405.553550284672838
2,2,602077,250092052002,9,25,205200,2,768.751223188411018,384.375611594205509,0.120519219788133,826,250092052002,3189.330401158581026
3,2,602077,250092052005,9,25,205200,5,5118.310560022554455,2559.155280011274954,0.517925140956947,829,250092052005,4941.168284055169352
4,2,602077,250092053001,9,25,205300,1,1006.946438102757611,503.473219051379999,0.039833762435331,830,250092053001,12639.358882273756535
5,2,602077,250092053002,9,25,205300,2,4228.751477592435549,2114.375738796220048,0.702100045915037,831,250092053002,3011.502065977771508
6,2,602077,250092053003,9,25,205300,3,6934.964909627821726,3467.482454813909953,0.739459731957275,832,250092053003,4689.210656049969657
7,2,602077,250092053004,9,25,205300,4,10273.505420147554105,5136.752710073799790,0.678472708972453,833,250092053004,7571.052810441583460
8,2,602077,250092054001,9,25,205400,1,1673.009038114279747,836.504519057139987,0.037165531809677,834,250092054001,22507.535297512615216
9,2,602077,250092054002,9,25,205400,2,1045.402829441720314,522.701414720860043,0.050247456890552,835,250092054002,10402.544667273328741
10,2,602077,250092054003,9,25,205400,3,8239.595185057409253,4119.797592528704627,0.480993777352718,836,250092054003,8565.178566764712741
11,2,602077,250092055001,9,25,205500,1,2170.373961809024422,1085.186980904509937,0.047903736623505,837,250092055001,22653.493388907067128
12,2,603739,250214401004,21,25,440100,4,80.199580880143785,40.099790440071899,0.000980413808647,3355,250214401004,40900.882960225651914
13,2,603739,250214412021,21,25,441202,1,21506.319892988329229,10753.159946494150063,0.146683422452156,3357,250214412021,73308.624565271529718
14,2,603739,250214412032,21,25,441203,2,5677.794753476466212,2838.897376738234925,0.113464505220387,3359,250214412032,25020.136219905190956
15,2,605168,250235011011,23,25,501101,1,8449.321484004041849,4224.660742002020015,0.196078543987352,3424,250235011011,21545.757409717130940
16,2,605168,250235011012,23,25,501101,2,22290.667614151079761,11145.333807075550794,0.374362025321575,3425,250235011012,29771.539454360579839
17,2,605168,250235011013,23,25,501101,3,9622.047609443921829,4811.023804721960005,0.500356909050959,3426,250235011013,9615.184116967962836
18,2,605168,250235011021,23,25,501102,1,1613.827539131289541,806.913769565644998,0.104027431057069,3427,250235011021,7756.740326721868769
19,2,605168,250235011022,23,25,501102,2,8998.642180226222990,4499.321090113109676,0.187755929004147,3428,250235011022,23963.669823783475294
20,2,605168,250235011023,23,25,501102,3,1680.328337935861555,840.164168967929982,0.047360171088925,3429,250235011023,17739.888806364571792
21,2,605313,250173821002,17,25,382100,2,223.573007632270730,111.786503816135493,0.013830144646277,2827,250173821002,8082.815232610269049
22,2,605313,250173821004,17,25,382100,4,2839.969415641161504,1419.984707820580070,0.177228545309529,2829,250173821004,8012.167031787020278
23,2,605313,250173821005,17,25,382100,5,11288.199703625257825,5644.099851812649831,0.603343615740688,2830,250173821005,9354.702203791013744
24,2,605313,250173822002,17,25,382200,2,6944.765687411880208,3472.382843705940104,0.415646220691068,2832,250173822002,8354.178796411599251
25,2,605313,250173822004,17,25,382200,4,6488.429090111818368,3244.214545055910094,0.248299497249373,2834,250173822004,13065.731429160570769
26,2,605313,250173825001,17,25,382500,1,7113.664553556745886,3556.832276778375217,0.138553072760359,2842,250173825001,25671.262325089457590
27,2,605313,250173825002,17,25,382500,2,12670.719127681553800,6335.359563840799638,0.524877412210527,2843,250173825002,12070.169941509540877
28,2,605313,250173825003,17,25,382500,3,5251.551227660465884,2625.775613830235216,0.138319228399660,2844,250173825003,18983.446077672735555
29,2,605743,250092231001,9,25,223100,1,5336.005512458510566,2668.002756229254828,0.051862704929746,1059,250092231001,51443.571249192449613
