OID_,FREQUENCY,tip_id,geoid20,countyfp20,statefp20,tractce20,blkgrpce20,Shape_Length,Length_Freq,area_fraction,OBJECTID,geoid20_1,shape_Length_1
1,2,602077,250092052001,009,25,205200,1,4304.376217685968186,2152.188108842985002,0.631964253994212,830,250092052001,3405.553550284672838
2,2,602077,250092052002,009,25,205200,2,768.751223188411018,384.375611594205509,0.120519366530545,831,250092052002,3189.326517881987911
3,2,602077,250092052005,009,25,205200,5,5107.901842894165384,2553.950921447084966,0.517412892005635,834,250092052005,4936.001713345921416
4,2,602077,250092053001,009,25,205300,1,1006.946438102757611,503.473219051379999,0.039833763429884,835,250092053001,12639.358566699293078
5,2,602077,250092053002,009,25,205300,2,4228.751477592435549,2114.375738796220048,0.702100045915037,836,250092053002,3011.502065977771508
6,2,602077,250092053003,009,25,205300,3,6934.964909627821726,3467.482454813909953,0.739459731957275,837,250092053003,4689.210656049969657
7,2,602077,250092053004,009,25,205300,4,10273.502641740611580,5136.751320870300333,0.678472649975778,838,250092053004,7571.051421238112198
8,2,602077,250092054001,009,25,205400,1,1847.325909336189397,923.662954668095040,0.040924900019942,839,250092054001,22569.705832342067879
9,2,602077,250092054002,009,25,205400,2,1045.402829441720314,522.701414720860043,0.050247455366232,840,250092054002,10402.544982847717620
10,2,602077,250092054003,009,25,205400,3,8065.278313835940025,4032.639156917970013,0.475658124719362,841,250092054003,8478.020131154540650
11,2,602077,250092055001,009,25,205500,1,2180.785457409961055,1090.392728704980073,0.048155545879048,842,250092055001,22643.139202361442585
12,2,603739,250214401021,021,25,440102,1,80.199580880143785,40.099790440071899,0.000985483954059,3450,250214401021,40690.454953538515838
13,2,603739,250214412021,021,25,441202,1,21506.319892988329229,10753.159946494150063,0.146509751668581,3452,250214412021,73395.523670116323046
14,2,603739,250214412032,021,25,441203,2,5677.794753476466212,2838.897376738234925,0.113444659868579,3454,250214412032,25024.513097636943712
15,2,605168,250235011011,023,25,501101,1,8453.344798555093803,4226.672399277545082,0.197760599611729,3524,250235011011,21372.671844522763422
16,2,605168,250235011012,023,25,501101,2,22286.644299600597151,11143.322149800300394,0.373792373416671,3525,250235011012,29811.528918966734636
17,2,605168,250235011013,023,25,501101,3,9622.047609443921829,4811.023804721960005,0.500316876866704,3526,250235011013,9615.953463036436005
18,2,605168,250235011021,023,25,501102,1,1387.494048824866695,693.747024412435053,0.090822507776608,3527,250235011021,7638.492279015349595
19,2,605168,250235011022,023,25,501102,2,9209.016044366662754,4604.508022183329558,0.193642569424001,3528,250235011022,23778.387344681821560
20,2,605168,250235011023,023,25,501102,3,1696.287964167222071,848.143982083610013,0.047750540718290,3529,250235011023,17761.976499645126751
21,2,605313,250173821002,017,25,382100,2,223.573007632270730,111.786503816135493,0.013814298610181,2889,250173821002,8092.086827611533408
