"","tip_id","MinPerc","lt_2x_pov_perc","hh_0veh_perc","low_inc_hh_perc","lep_perc","u18_perc","p75_perc","disab_perc","workers16p_perc"
"1","602077",0.36,0.22,0.08,0.27,0.11,0.23,0.04,0.11,0.67
"2","603739",0.1,0.09,0.03,0.16,0,0.25,0.07,0.08,0.67
"3","605168",0.08,0.07,0.05,0.19,0.02,0.28,0.1,0.07,0.63
"4","605313",0.24,0.08,0.07,0.17,0.07,0.24,0.05,0.07,0.7
"5","605743",0.12,0.21,0.1,0.37,0.04,0.2,0.08,0.1,0.65
"6","605857",0.22,0.09,0.05,0.28,0.05,0.21,0.17,0.12,0.64
"7","606130",0.21,0.23,0.12,0.32,0.09,0.21,0.13,0.13,0.63
"8","606226",0.27,0.14,0.24,0.19,0.08,0.18,0.04,0.08,0.76
"9","606453",0.44,0.44,0.62,0.47,0.1,0.03,0.02,0.06,0.54
"10","606476",0.45,0.33,0.5,0.28,0.3,0.14,0.04,0.1,0.73
"11","607244",0.22,0.25,0.16,0.38,0.11,0.18,0.09,0.14,0.68
"12","607738",0.28,0.08,0.03,0.13,0.04,0.28,0.1,0.09,0.63
"13","607777",0.28,0.12,0.12,0.18,0.07,0.15,0.08,0.11,0.7
"14","607899",0.42,0.23,0.15,0.31,0.11,0.19,0.06,0.12,0.68
"15","607981",0.44,0.28,0.31,0.31,0.17,0.12,0.05,0.11,0.73
"16","608007",0.06,0.08,0.02,0.16,0,0.23,0.09,0.08,0.63
"17","608045",0.35,0.11,0.1,0.24,0.11,0.16,0.08,0.08,0.66
"18","608051",0.17,0.08,0.04,0.17,0.03,0.25,0.06,0.11,0.67
"19","608067",0.35,0.14,0.06,0.22,0.13,0.17,0.14,0.11,0.63
"20","608078",0.83,0.43,0.33,0.44,0.4,0.27,0.04,0.13,0.67
"21","608164",0.19,0.06,0.05,0.13,0.04,0.28,0.09,0.06,0.64
"22","608229",0.33,0.04,0.02,0.11,0.06,0.25,0.06,0.06,0.67
"23","608348",0.16,0.21,0.12,0.28,0.05,0.19,0.05,0.11,0.68
"24","608436",0.32,0.16,0.04,0.22,0.05,0.22,0.06,0.07,0.72
"25","608443",0.2,0.08,0,0.1,0.02,0.22,0.05,0.11,0.69
"26","608707",0.28,0.3,0.11,0.32,0.14,0.18,0.08,0.11,0.65
"27","608887",0.13,0.08,0.05,0.25,0.04,0.18,0.05,0.09,0.71
"28","608889",0.31,0.1,0.14,0.15,0.04,0.12,0.19,0.13,0.69
"29","608933",0.39,0.36,0.15,0.43,0.14,0.19,0.09,0.13,0.6
"30","608940",0.23,0.12,0.05,0.19,0.06,0.29,0.11,0.07,0.47
"31","608954",0.26,0.11,0.05,0.18,0.04,0.26,0.1,0.07,0.52
"32","608955",0.15,0.09,0.01,0.14,0.03,0.28,0.07,0.05,0.68
"33","609054",0.21,0.04,0.01,0.15,0.05,0.26,0.1,0.12,0.65
"34","609204",0.34,0.13,0.08,0.2,0.09,0.28,0.08,0.07,0.64
"35","609211",0.34,0.31,0.13,0.38,0.08,0.16,0.1,0.16,0.57
"36","609246",0.76,0.4,0.21,0.43,0.33,0.27,0.03,0.12,0.65
"37","609252",0.74,0.42,0.28,0.48,0.32,0.26,0.05,0.13,0.64
"38","609253",0.12,0.09,0.04,0.11,0.02,0.22,0.12,0.11,0.65
"39","609257",0.65,0.37,0.31,0.37,0.43,0.15,0.02,0.07,0.71
"40","609437",0.36,0.33,0.15,0.37,0.12,0.19,0.06,0.12,0.65
"41","610544",0.13,0.15,0.27,0.36,0.04,0.09,0.31,0.22,0.52
"42","610545",0.15,0.12,0.03,0.23,0.06,0.18,0.07,0.11,0.67
"43","610662",0.29,0.14,0.14,0.29,0.09,0.18,0.08,0.11,0.66
"44","610666",0.13,0.08,0.04,0.15,0.04,0.25,0.05,0.09,0.67
"45","610671",0.08,0.1,0.05,0.23,0.01,0.26,0.09,0.07,0.62
"46","610932",0.36,0.22,0.34,0.27,0.1,0.16,0.08,0.08,0.68
"47","611975",0.11,0.17,0.08,0.34,0.04,0.19,0.09,0.1,0.65
"48","611983",0.84,0.46,0.34,0.45,0.46,0.29,0.04,0.12,0.67
"49","Acton",0.36,0.14,0.01,0.22,0.08,0.23,0.04,0.08,0.66
"50","Belmont",0.23,0.07,0.04,0.14,0.06,0.27,0.07,0.07,0.68
"51","Cambridge",0.46,0.22,0.34,0.27,0.08,0.11,0.04,0.07,0.67
"52","Medford-Malden",0.48,0.29,0.14,0.29,0.18,0.15,0.04,0.09,0.71
"53","S12114",0.75,0.3,0.23,0.36,0.15,0.22,0.06,0.16,0.62
"54","Salem",0.32,0.36,0.16,0.36,0.09,0.18,0.06,0.14,0.66
"55","Stoneham",0.2,0.12,0.09,0.26,0.04,0.17,0.08,0.11,0.69
"56","Watertown",0.38,0.15,0.2,0.22,0.07,0.1,0.05,0.09,0.65
