tip_id,H1_001N,P1_001N,P3_001N
602077,1683.8448025570417,4465.5636303159345,3563.4237773450977
603739,232.8933263753083,613.74448220479,479.25490156172583
605168,701.9093162803944,1851.1191163039516,1330.470586332937
605313,1196.5664549714177,2884.0918039820463,2263.141601732726
605743,1471.6794427916209,3008.0174657383977,2485.789455105804
605857,438.02489872533096,1074.8903146608282,881.6134579778928
606130,1069.5094349770966,2321.7976120492344,1922.9065994061248
606226,9158.582381478871,17849.66896946738,15293.334211793253
606453,14891.64932588355,32045.91578939424,30906.31568898674
606476,15864.949530186674,30547.66145566422,26501.36445859417
607244,4510.8741319292085,9739.52207933459,8031.140557199195
607738,934.8783600070404,2513.534540173028,1869.426918305056
607777,9131.678075655864,18823.15482807208,15962.996426490048
607899,2341.949974985169,5584.115900573923,4425.9174398596715
607981,8978.01143050073,18959.766881432613,16574.066903826566
608007,406.8839056330677,1077.1066266959488,790.8403454938338
608045,582.0395959761405,1430.907722965447,1161.4805946104896
608051,821.0106830022831,2251.492523465881,1788.1281905054734
608067,622.1366771215445,1358.8690745762678,1119.0665707497508
608078,9196.782231649806,26756.13033813607,20000.503580941742
608164,868.1880386258133,2380.4199463454142,1771.631128469013
608229,339.3026518573572,941.4025081400387,704.3067845878704
608348,4033.2897032085352,8574.993501008188,7056.632444096769
608436,669.3858291985451,1706.846911745995,1329.033958445761
608443,160.52994104638046,410.4485343720612,320.1338526962064
608707,1738.0231241172667,4083.7840568222305,3298.909493748914
608887,516.0020225769719,1212.9811964169182,993.0623695388767
608889,319.31411665331984,893.5166972414512,759.3642585848496
608933,4520.746676040005,9769.267284782527,7892.690070090799
608940,140.1733520304626,332.79460002105037,256.3294119416288
608954,574.0052880011906,1705.638553428052,1317.6694039163733
608955,775.463833414627,2206.305867424703,1615.6615534240063
609054,157.67534025566994,443.2195675638218,341.6080923382425
609204,2897.798349353243,7226.262471509672,5463.2929877147035
609211,2546.7085017566214,5482.215181904736,4448.42203309512
609246,12184.770470416903,37210.16350239657,26860.59499714093
609252,9521.880612137413,26654.596734047034,19729.884886064567
609253,261.9593287473609,720.528729581046,573.9656575840603
609257,585.0342622935553,1330.311330495235,1074.1725297801213
609437,5277.289938974624,11617.393408784666,9466.011237446031
610544,1394.4926371725326,2648.706269249971,2358.2513504865774
610545,3957.9274737874985,8386.859037993663,6958.919693487295
610662,2302.9472142500776,5068.118707425554,4208.4388876665935
610666,3105.0746741724524,7848.531287227771,6044.046068055956
610671,335.50385818619543,698.5204742099955,546.6223114506164
610932,11811.79993548963,24946.22967602825,20825.93055867652
611975,892.1040087815652,1799.3705138763773,1500.2446879233282
611983,5405.054293727845,15658.276851745639,11667.962975016851
Acton,340.70682237357727,877.8413654814419,687.5057816450491
Belmont,1094.112496911228,2798.2570231560835,2107.6577281233967
Cambridge,22152.849966636495,50348.241338860804,44865.29229260726
Medford-Malden,6250.459519665608,14127.695357885856,12243.081144912949
S12114,14974.90615259036,37881.12249494945,30037.365845675835
Salem,3686.170023788538,8223.43198588068,6796.965390039385
Stoneham,5863.837321349081,13414.037051554917,10886.730427657061
Watertown,8438.211829307653,20876.779681247535,18677.4466849644
