GEOID,minority_pct,nonminority_pct,total_pop_min,minority_pop,nonminority_pop,lowincome_pop,nonlowincome_pop,total_pop_inc,lowincome_pop_moe,nonlowincome_pop_moe,total_pop_inc_moe,lowincome_pct,lowincome_pct_moe,nonlowincome_pct,nonlowincome_pct_moe,youth_pct,nonyouth_pct,total_pop_yth,youth_pop,nonyouth_pop,elderly_pct,nonelderly_pct,total_pop_eld,elderly_pop,nonelderly_pop,lep_pop,nonlep_pop,total_pop_lep,lep_pop_moe,nonlep_pop_moe,total_pop_lep_moe,lep_pct,lep_pct_moe,nonlep_pct,nonlep_pct_moe,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOIDFQ,NAME,NAMELSAD,LSAD,ALAND,AWATER,Shape_Length,Shape_Area
250214131005,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,25,021,413100,5,1500000US250214131005,5,Block Group 5,BG,1884131,58955,0.07778734332509,2.119506695e-4
250250612021,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,25,025,061202,1,1500000US250250612021,1,Block Group 1,BG,380810,4897,0.028650827875901,4.22036795e-5
250250505002,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,25,025,050500,2,1500000US250250505002,2,Block Group 2,BG,137017,0,0.017861112933247,1.1517742e-5
250173593011,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,25,017,359301,1,1500000US250173593011,1,Block Group 1,BG,741811,0,0.042597480002014,8.16209955e-5
250173593021,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,25,017,359302,1,1500000US250173593021,1,Block Group 1,BG,812940,0,0.04525715115845,8.8923131e-5
250259801011,NA,NA,0,0,0,159,0,159,196.65197685250968,14,224,1,1.874678090320637,0,0.088050314465409,NA,NA,0,0,0,NA,NA,0,0,0,22,140,162,88.79189152169245,128.9418473576364,224,0.135802469135802,0.514928734108157,0.864197530864197,1.435756716083684,25,025,980101,1,1500000US250259801011,1,Block Group 1,BG,3270316,5392370,0.284184765895672,4.72560771505e-4
250259811001,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,25,025,981100,1,1500000US250259811001,1,Block Group 1,BG,693387,6219,0.041903353748922,7.97911225e-5
250259811004,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,25,025,981100,4,1500000US250259811004,4,Block Group 4,BG,240843,0,0.023537744929979,2.54633945e-5
250259812011,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,25,025,981201,1,1500000US250259812011,1,Block Group 1,BG,799562,1327740,0.114336567134632,1.40250947202e-4
250259812021,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,25,025,981202,1,1500000US250259812021,1,Block Group 1,BG,465352,0,0.046203691549009,5.2531167e-5
250259819001,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,14,14,14,NA,NA,NA,NA,25,025,981900,1,1500000US250259819001,1,Block Group 1,BG,233864,106064,0.030562431562932,3.73155865e-5
